Close,High,Low,Open,Volume,Daily Return,Daily log return
2018-01-02,10079.099609375,10097.900390625,10017.0,10089.599609375,146991300,,
2018-01-03,10116.0,10145.2001953125,10083.599609375,10101.400390625,137802800,0.003661080062218769,0.0036543946209297764
2018-01-04,10314.400390625,10325.0,10151.0,10154.599609375,189788300,0.019612533671905963,0.019422686178581706
2018-01-05,10411.400390625,10411.400390625,10343.099609375,10343.099609375,145843400,0.009404327573725446,0.009360382188190524
2018-01-08,10398.400390625,10456.900390625,10398.400390625,10439.7998046875,135172700,-0.0012486312611419415,-0.0012494114506687354
2018-01-09,10426.5,10461.900390625,10385.599609375,10400.900390625,132564600,0.0027023011539673014,0.002698656502691028
2018-01-10,10428.2998046875,10474.900390625,10399.099609375,10423.2001953125,210844800,0.00017261829832637687,0.0001726034015022033
2018-01-11,10435.2001953125,10475.0,10401.2001953125,10435.900390625,208917700,0.0006616985274914278,0.0006614797015466682
2018-01-12,10462.400390625,10492.2001953125,10443.400390625,10463.7001953125,154547300,0.002606581072083225,0.002603189831391474
2018-01-15,10467.2001953125,10493.7001953125,10446.900390625,10471.599609375,112255300,0.0004587670618876327,0.0004586618604531684
2018-01-16,10520.400390625,10572.900390625,10466.2001953125,10479.0,160056900,0.00508256212930025,0.005069689509237934
2018-01-17,10474.599609375,10504.900390625,10441.2001953125,10475.599609375,144364100,-0.004353520735847161,-0.004363024901665266
2018-01-18,10432.7001953125,10509.2001953125,10403.2001953125,10500.099609375,123091800,-0.0040000969607467685,-0.004008118747690915
2018-01-19,10479.5,10500.099609375,10396.2001953125,10417.5,143558400,0.004485876504773723,0.004475844949788874
2018-01-22,10584.0,10601.900390625,10488.2998046875,10503.599609375,179083500,0.009971849801994281,0.0099224589815771
2018-01-23,10609.5,10643.400390625,10583.7001953125,10640.2998046875,168200500,0.0024092970521540913,0.002406399349362597
2018-01-24,10563.0,10617.2001953125,10563.0,10595.2998046875,129488500,-0.0043828644139686235,-0.0043924973209921205
